using device: cpu
Loading pretrained GPT-2 model: gpt2
loaded 338025 tokens
1 epoch = 2640 batches
step 0, loss: 5.106705665588379
Saved best model with loss: 5.1067 to fine_tuned_gpt2\gpt2_finetuned_best_loss_5.1067.pt
step 1, loss: 4.932941913604736
Saved best model with loss: 4.9329 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.9329.pt
step 2, loss: 4.096211910247803
Saved best model with loss: 4.0962 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.0962.pt
step 3, loss: 4.488976955413818
step 4, loss: 4.502616882324219
step 5, loss: 4.433855056762695
step 6, loss: 5.461215972900391
step 7, loss: 4.764986991882324
step 8, loss: 4.041317939758301
Saved best model with loss: 4.0413 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.0413.pt
step 9, loss: 4.981418609619141
step 10, loss: 4.647095680236816
step 11, loss: 3.904893159866333
Saved best model with loss: 3.9049 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.9049.pt
step 12, loss: 4.3020548820495605
step 13, loss: 4.172767162322998
step 14, loss: 4.647274017333984
step 15, loss: 4.379924297332764
step 16, loss: 4.562546730041504
step 17, loss: 5.4979448318481445
step 18, loss: 4.164573669433594
step 19, loss: 4.85388708114624
step 20, loss: 4.702328681945801
step 21, loss: 4.743031024932861
step 22, loss: 3.7383012771606445
Saved best model with loss: 3.7383 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.7383.pt
step 23, loss: 4.258203506469727
step 24, loss: 3.8360934257507324
step 25, loss: 3.847895383834839
step 26, loss: 3.610481023788452
Saved best model with loss: 3.6105 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.6105.pt
step 27, loss: 4.520356178283691
step 28, loss: 4.319205284118652
step 29, loss: 4.184718132019043
step 30, loss: 4.543868541717529
step 31, loss: 4.498016834259033
step 32, loss: 4.4897141456604
step 33, loss: 3.884211301803589
step 34, loss: 5.28506326675415
step 35, loss: 4.84634256362915
step 36, loss: 4.2035369873046875
step 37, loss: 4.8974504470825195
step 38, loss: 3.8198113441467285
step 39, loss: 3.7975330352783203
step 40, loss: 4.609060287475586
step 41, loss: 3.0166618824005127
Saved best model with loss: 3.0167 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.0167.pt
step 42, loss: 3.2367117404937744
step 43, loss: 3.5632221698760986
step 44, loss: 3.8441226482391357
step 45, loss: 3.8113574981689453
step 46, loss: 3.3268041610717773
step 47, loss: 3.8089277744293213
step 48, loss: 4.844048976898193
step 49, loss: 4.381552696228027
step 50, loss: 5.120126724243164
step 51, loss: 5.033805847167969
step 52, loss: 3.642892599105835
step 53, loss: 4.651348114013672
step 54, loss: 4.687567710876465
step 55, loss: 4.0303120613098145
step 56, loss: 4.3412556648254395
step 57, loss: 4.526065349578857
step 58, loss: 3.740525960922241
step 59, loss: 4.162097930908203
step 60, loss: 3.9064910411834717
step 61, loss: 3.899695873260498
step 62, loss: 3.7830259799957275
step 63, loss: 3.591663360595703
step 64, loss: 4.527017116546631
step 65, loss: 5.009505271911621
step 66, loss: 4.185308933258057
step 67, loss: 3.6534435749053955
step 68, loss: 4.092602729797363
step 69, loss: 4.113769054412842
step 70, loss: 4.421308994293213
step 71, loss: 4.053579330444336
step 72, loss: 4.007169723510742
step 73, loss: 4.321084976196289
step 74, loss: 5.30488395690918
step 75, loss: 4.278426647186279
step 76, loss: 4.566287517547607
step 77, loss: 3.6446776390075684
step 78, loss: 3.881622552871704
step 79, loss: 3.226231575012207
step 80, loss: 4.403965473175049
step 81, loss: 4.950368404388428
step 82, loss: 4.215677738189697
step 83, loss: 3.1800544261932373
step 84, loss: 3.509648561477661
step 85, loss: 3.5838983058929443
step 86, loss: 3.7165920734405518
step 87, loss: 4.4587578773498535
step 88, loss: 4.6872711181640625
step 89, loss: 5.051091194152832
step 90, loss: 4.677273750305176
step 91, loss: 4.422355651855469
step 92, loss: 4.807075023651123
step 93, loss: 4.088461875915527
step 94, loss: 3.299227237701416
step 95, loss: 3.86476469039917
step 96, loss: 3.520080804824829
step 97, loss: 4.128359317779541
step 98, loss: 3.4274704456329346
step 99, loss: 3.8555800914764404
step 100, loss: 4.425589084625244
step 101, loss: 3.027602434158325
step 102, loss: 4.07732629776001
step 103, loss: 4.469768524169922
step 104, loss: 3.5470151901245117
step 105, loss: 5.016121864318848
step 106, loss: 5.875563621520996
step 107, loss: 4.062520980834961
step 108, loss: 4.0245280265808105
step 109, loss: 3.695667028427124
step 110, loss: 4.744691848754883
step 111, loss: 4.120723247528076
step 112, loss: 3.4777157306671143
step 113, loss: 4.466702461242676
step 114, loss: 4.680866241455078
step 115, loss: 4.5614447593688965
step 116, loss: 3.945183038711548
step 117, loss: 4.187610626220703
step 118, loss: 3.709219217300415
step 119, loss: 3.7413604259490967
step 120, loss: 4.088102340698242
step 121, loss: 4.266202449798584
step 122, loss: 5.123181343078613
step 123, loss: 5.119017601013184
step 124, loss: 5.362809658050537
step 125, loss: 3.488873243331909
step 126, loss: 3.141893148422241
step 127, loss: 3.525806427001953
step 128, loss: 3.5399858951568604
step 129, loss: 3.244546413421631
step 130, loss: 4.193114280700684
step 131, loss: 4.665785312652588
step 132, loss: 4.2849016189575195
step 133, loss: 4.197142124176025
step 134, loss: 3.5873374938964844
step 135, loss: 3.4731972217559814
step 136, loss: 2.8048601150512695
Saved best model with loss: 2.8049 to fine_tuned_gpt2\gpt2_finetuned_best_loss_2.8049.pt
step 137, loss: 3.385746479034424
step 138, loss: 3.344870090484619
step 139, loss: 3.1925888061523438
step 140, loss: 4.069642066955566
step 141, loss: 4.275033950805664
step 142, loss: 5.047226428985596
step 143, loss: 3.2601490020751953
step 144, loss: 3.1316235065460205
step 145, loss: 2.799943447113037
Saved best model with loss: 2.7999 to fine_tuned_gpt2\gpt2_finetuned_best_loss_2.7999.pt
step 146, loss: 3.526031732559204
step 147, loss: 3.6188724040985107
step 148, loss: 3.740169048309326
step 149, loss: 4.628198623657227
step 150, loss: 4.347969055175781
step 151, loss: 4.191741943359375
step 152, loss: 4.353056907653809
step 153, loss: 4.348725318908691
step 154, loss: 4.501947402954102
step 155, loss: 4.749711513519287
step 156, loss: 4.076618671417236
step 157, loss: 3.5979819297790527
step 158, loss: 3.280874490737915
step 159, loss: 3.514249324798584
step 160, loss: 2.579284429550171
Saved best model with loss: 2.5793 to fine_tuned_gpt2\gpt2_finetuned_best_loss_2.5793.pt
step 161, loss: 3.0277271270751953
step 162, loss: 3.8756966590881348
step 163, loss: 2.90122389793396
step 164, loss: 3.432889938354492
step 165, loss: 3.724303960800171
step 166, loss: 4.250707149505615
step 167, loss: 3.5191798210144043
step 168, loss: 3.4358410835266113
step 169, loss: 4.612989902496338
step 170, loss: 4.661141872406006
step 171, loss: 3.432551145553589
step 172, loss: 3.833758592605591
step 173, loss: 4.83622407913208
step 174, loss: 3.942547559738159
step 175, loss: 4.8788533210754395
step 176, loss: 3.9892022609710693
step 177, loss: 3.571556329727173
step 178, loss: 3.157681465148926
step 179, loss: 3.4599876403808594
step 180, loss: 3.28289794921875
step 181, loss: 2.6535747051239014
step 182, loss: 3.818803310394287
step 183, loss: 3.3357396125793457
step 184, loss: 2.9387364387512207
step 185, loss: 3.027184247970581
step 186, loss: 3.3393101692199707
step 187, loss: 4.2488837242126465
step 188, loss: 3.8062212467193604
step 189, loss: 3.629671573638916
step 190, loss: 2.7521309852600098
step 191, loss: 2.509352684020996
Saved best model with loss: 2.5094 to fine_tuned_gpt2\gpt2_finetuned_best_loss_2.5094.pt
step 192, loss: 3.9980382919311523
step 193, loss: 3.7783851623535156
step 194, loss: 3.6421236991882324
step 195, loss: 4.310742378234863
step 196, loss: 3.839794874191284
step 197, loss: 2.781621217727661
step 198, loss: 4.821766376495361
step 199, loss: 3.5788493156433105
step 200, loss: 3.2486014366149902
step 201, loss: 3.3283820152282715
step 202, loss: 3.547105550765991
step 203, loss: 3.3613598346710205
step 204, loss: 4.468174934387207
step 205, loss: 3.8686940670013428
step 206, loss: 5.017037391662598
step 207, loss: 4.058818817138672
step 208, loss: 3.004500150680542
step 209, loss: 3.8595428466796875
step 210, loss: 4.6276044845581055
step 211, loss: 4.311402797698975
step 212, loss: 4.206668853759766
step 213, loss: 3.3535590171813965
step 214, loss: 3.7701168060302734
step 215, loss: 3.397894859313965
step 216, loss: 3.749880790710449
step 217, loss: 3.2852706909179688
step 218, loss: 4.099540710449219
step 219, loss: 2.8147473335266113
step 220, loss: 3.9705398082733154
step 221, loss: 2.7513315677642822
step 222, loss: 3.988445997238159
step 223, loss: 3.7012438774108887
step 224, loss: 2.9119246006011963
step 225, loss: 4.085916042327881
step 226, loss: 3.1806259155273438
step 227, loss: 3.509294271469116
step 228, loss: 4.1189470291137695
step 229, loss: 4.176172256469727
step 230, loss: 4.097783088684082
step 231, loss: 3.9431185722351074
step 232, loss: 4.0364460945129395
step 233, loss: 5.304929733276367
step 234, loss: 3.984450578689575
step 235, loss: 3.735208034515381
step 236, loss: 3.4085493087768555
step 237, loss: 2.8603789806365967
step 238, loss: 3.019592761993408
step 239, loss: 3.876112699508667
step 240, loss: 2.5454800128936768
step 241, loss: 3.3402767181396484
step 242, loss: 3.307049512863159
step 243, loss: 3.3739845752716064
step 244, loss: 4.313615322113037
step 245, loss: 4.626351833343506
step 246, loss: 4.252574920654297
step 247, loss: 4.415500640869141
step 248, loss: 3.8057515621185303
step 249, loss: 4.099172592163086
step 250, loss: 3.750082015991211
step 251, loss: 4.917501449584961
step 252, loss: 3.639786720275879
step 253, loss: 3.498170852661133
step 254, loss: 3.1007421016693115
step 255, loss: 3.3063242435455322
step 256, loss: 2.8743700981140137
step 257, loss: 3.681741237640381
step 258, loss: 3.1848063468933105
step 259, loss: 3.7540392875671387
step 260, loss: 4.654567241668701
step 261, loss: 4.931147575378418
step 262, loss: 4.450892448425293
step 263, loss: 4.872677803039551
step 264, loss: 5.0091376304626465
step 265, loss: 4.526147842407227
step 266, loss: 3.739161968231201
step 267, loss: 3.8850815296173096
