using device: cpu
Loading pretrained GPT-2 model: gpt2
loaded 338025 tokens
1 epoch = 2640 batches
Using OneCycleLR scheduler with max_lr=0.0003 and total_steps=10000
step 0, loss: 5.1067, current_lr: 0.000012
Saved best model with loss: 5.1067 to fine_tuned_gpt2\gpt2_finetuned_best_loss_5.1067.pt
step 1, loss: 5.4473, current_lr: 0.000012
step 2, loss: 5.3476, current_lr: 0.000012
step 3, loss: 5.4027, current_lr: 0.000012
step 4, loss: 5.4878, current_lr: 0.000012
step 5, loss: 5.1975, current_lr: 0.000012
step 6, loss: 5.3419, current_lr: 0.000012
step 7, loss: 5.0489, current_lr: 0.000012
Saved best model with loss: 5.0489 to fine_tuned_gpt2\gpt2_finetuned_best_loss_5.0489.pt
step 8, loss: 4.6498, current_lr: 0.000012
Saved best model with loss: 4.6498 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.6498.pt
step 9, loss: 5.2331, current_lr: 0.000012
step 10, loss: 4.7787, current_lr: 0.000012
step 11, loss: 4.9111, current_lr: 0.000012
step 12, loss: 4.6810, current_lr: 0.000012
step 13, loss: 4.6112, current_lr: 0.000012
Saved best model with loss: 4.6112 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.6112.pt
step 14, loss: 4.9040, current_lr: 0.000012
step 15, loss: 4.5675, current_lr: 0.000012
Saved best model with loss: 4.5675 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.5675.pt
step 16, loss: 4.6307, current_lr: 0.000012
step 17, loss: 5.1697, current_lr: 0.000012
step 18, loss: 4.2223, current_lr: 0.000012
Saved best model with loss: 4.2223 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.2223.pt
step 19, loss: 5.0941, current_lr: 0.000012
step 20, loss: 4.7041, current_lr: 0.000012
step 21, loss: 4.7709, current_lr: 0.000012
step 22, loss: 4.1645, current_lr: 0.000012
Saved best model with loss: 4.1645 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.1645.pt
step 23, loss: 4.4461, current_lr: 0.000012
step 24, loss: 4.0945, current_lr: 0.000012
Saved best model with loss: 4.0945 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.0945.pt
step 25, loss: 4.3785, current_lr: 0.000012
step 26, loss: 4.0434, current_lr: 0.000012
Saved best model with loss: 4.0434 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.0434.pt
step 27, loss: 4.5203, current_lr: 0.000012
step 28, loss: 4.5411, current_lr: 0.000012
step 29, loss: 4.3777, current_lr: 0.000012
step 30, loss: 4.6003, current_lr: 0.000012
step 31, loss: 4.7286, current_lr: 0.000012
step 32, loss: 4.5331, current_lr: 0.000012
step 33, loss: 3.8212, current_lr: 0.000012
Saved best model with loss: 3.8212 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.8212.pt
step 34, loss: 4.7744, current_lr: 0.000012
step 35, loss: 4.6835, current_lr: 0.000012
step 36, loss: 4.3054, current_lr: 0.000012
step 37, loss: 4.7096, current_lr: 0.000012
step 38, loss: 4.1113, current_lr: 0.000012
step 39, loss: 4.0062, current_lr: 0.000012
step 40, loss: 4.4991, current_lr: 0.000012
step 41, loss: 3.3873, current_lr: 0.000012
Saved best model with loss: 3.3873 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.3873.pt
step 42, loss: 3.6631, current_lr: 0.000012
step 43, loss: 3.9122, current_lr: 0.000012
step 44, loss: 4.2002, current_lr: 0.000012
step 45, loss: 3.9640, current_lr: 0.000012
step 46, loss: 3.1888, current_lr: 0.000012
Saved best model with loss: 3.1888 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.1888.pt
step 47, loss: 3.7406, current_lr: 0.000012
step 48, loss: 4.5254, current_lr: 0.000012
step 49, loss: 4.4352, current_lr: 0.000012
step 50, loss: 4.9126, current_lr: 0.000012
step 51, loss: 4.8544, current_lr: 0.000012
step 52, loss: 3.6980, current_lr: 0.000012
step 53, loss: 4.4501, current_lr: 0.000012
