using device: cpu
Loading pretrained GPT-2 model: gpt2
loaded 338025 tokens
1 epoch = 165 batches
Using OneCycleLR scheduler with max_lr=0.0007 and total_steps=10000
step 0, loss: 4.9285, current_lr: 0.000028
Saved best model with loss: 4.9285 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.9285.pt
step 1, loss: 4.4606, current_lr: 0.000028
Saved best model with loss: 4.4606 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.4606.pt
step 2, loss: 4.0646, current_lr: 0.000028
Saved best model with loss: 4.0646 to fine_tuned_gpt2\gpt2_finetuned_best_loss_4.0646.pt
step 3, loss: 4.3851, current_lr: 0.000028
step 4, loss: 4.3394, current_lr: 0.000028
step 5, loss: 4.1568, current_lr: 0.000028
step 6, loss: 4.1171, current_lr: 0.000028
step 7, loss: 4.1456, current_lr: 0.000028
step 8, loss: 3.8273, current_lr: 0.000028
Saved best model with loss: 3.8273 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.8273.pt
step 9, loss: 3.9954, current_lr: 0.000028
step 10, loss: 3.9946, current_lr: 0.000028
step 11, loss: 3.5210, current_lr: 0.000028
Saved best model with loss: 3.5210 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.5210.pt
step 12, loss: 3.9006, current_lr: 0.000028
step 13, loss: 3.8258, current_lr: 0.000028
step 14, loss: 3.8448, current_lr: 0.000028
step 15, loss: 3.5075, current_lr: 0.000028
Saved best model with loss: 3.5075 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.5075.pt
step 16, loss: 3.7529, current_lr: 0.000028
step 17, loss: 3.7006, current_lr: 0.000028
step 18, loss: 3.8213, current_lr: 0.000028
step 19, loss: 3.7428, current_lr: 0.000028
step 20, loss: 4.0522, current_lr: 0.000028
step 21, loss: 3.8356, current_lr: 0.000028
step 22, loss: 3.8521, current_lr: 0.000028
step 23, loss: 3.9134, current_lr: 0.000028
step 24, loss: 3.6694, current_lr: 0.000028
step 25, loss: 3.5051, current_lr: 0.000028
Saved best model with loss: 3.5051 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.5051.pt
step 26, loss: 3.8200, current_lr: 0.000028
step 27, loss: 3.8111, current_lr: 0.000028
step 28, loss: 3.8488, current_lr: 0.000028
step 29, loss: 3.3720, current_lr: 0.000028
Saved best model with loss: 3.3720 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.3720.pt
step 30, loss: 3.7659, current_lr: 0.000028
step 31, loss: 3.7902, current_lr: 0.000028
step 32, loss: 3.5454, current_lr: 0.000028
step 33, loss: 3.3803, current_lr: 0.000028
step 34, loss: 3.6105, current_lr: 0.000028
step 35, loss: 3.5515, current_lr: 0.000028
step 36, loss: 3.9309, current_lr: 0.000028
step 37, loss: 3.8781, current_lr: 0.000028
step 38, loss: 3.7904, current_lr: 0.000028
step 39, loss: 3.4271, current_lr: 0.000028
step 40, loss: 4.0309, current_lr: 0.000028
step 41, loss: 3.5446, current_lr: 0.000028
step 42, loss: 3.3731, current_lr: 0.000028
step 43, loss: 3.4532, current_lr: 0.000028
step 44, loss: 3.8297, current_lr: 0.000028
step 45, loss: 3.7358, current_lr: 0.000028
step 46, loss: 3.7729, current_lr: 0.000028
step 47, loss: 4.1466, current_lr: 0.000028
step 48, loss: 3.9948, current_lr: 0.000028
step 49, loss: 4.0316, current_lr: 0.000028
step 50, loss: 3.9911, current_lr: 0.000028
step 51, loss: 4.0517, current_lr: 0.000028
step 52, loss: 3.9405, current_lr: 0.000029
step 53, loss: 3.6925, current_lr: 0.000029
step 54, loss: 3.8100, current_lr: 0.000029
step 55, loss: 4.0469, current_lr: 0.000029
step 56, loss: 3.9549, current_lr: 0.000029
step 57, loss: 3.8169, current_lr: 0.000029
step 58, loss: 3.8368, current_lr: 0.000029
step 59, loss: 3.7843, current_lr: 0.000029
step 60, loss: 3.6581, current_lr: 0.000029
step 61, loss: 3.7035, current_lr: 0.000029
step 62, loss: 3.3486, current_lr: 0.000029
Saved best model with loss: 3.3486 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.3486.pt
step 63, loss: 3.8125, current_lr: 0.000029
step 64, loss: 3.3890, current_lr: 0.000029
step 65, loss: 3.8426, current_lr: 0.000029
step 66, loss: 4.0222, current_lr: 0.000029
step 67, loss: 3.9387, current_lr: 0.000029
step 68, loss: 4.0973, current_lr: 0.000029
step 69, loss: 3.7918, current_lr: 0.000029
step 70, loss: 3.5725, current_lr: 0.000029
step 71, loss: 4.0790, current_lr: 0.000029
step 72, loss: 3.5115, current_lr: 0.000029
step 73, loss: 3.8014, current_lr: 0.000029
step 74, loss: 3.6436, current_lr: 0.000029
step 75, loss: 3.9169, current_lr: 0.000029
step 76, loss: 3.6830, current_lr: 0.000029
step 77, loss: 3.6686, current_lr: 0.000029
step 78, loss: 3.5063, current_lr: 0.000029
step 79, loss: 3.5262, current_lr: 0.000029
step 80, loss: 3.6661, current_lr: 0.000029
step 81, loss: 3.5856, current_lr: 0.000029
step 82, loss: 3.9561, current_lr: 0.000029
step 83, loss: 3.7593, current_lr: 0.000029
step 84, loss: 3.7439, current_lr: 0.000029
step 85, loss: 3.3404, current_lr: 0.000029
Saved best model with loss: 3.3404 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.3404.pt
step 86, loss: 3.3253, current_lr: 0.000029
Saved best model with loss: 3.3253 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.3253.pt
step 87, loss: 3.7132, current_lr: 0.000029
step 88, loss: 3.8619, current_lr: 0.000029
step 89, loss: 3.9628, current_lr: 0.000029
step 90, loss: 3.6057, current_lr: 0.000030
step 91, loss: 3.8780, current_lr: 0.000030
step 92, loss: 3.8212, current_lr: 0.000030
step 93, loss: 3.5296, current_lr: 0.000030
step 94, loss: 3.0305, current_lr: 0.000030
Saved best model with loss: 3.0305 to fine_tuned_gpt2\gpt2_finetuned_best_loss_3.0305.pt
step 95, loss: 3.6701, current_lr: 0.000030
step 96, loss: 3.6071, current_lr: 0.000030
step 97, loss: 3.7040, current_lr: 0.000030
step 98, loss: 3.5210, current_lr: 0.000030
step 99, loss: 3.4597, current_lr: 0.000030
step 100, loss: 3.4766, current_lr: 0.000030
step 101, loss: 3.7787, current_lr: 0.000030
step 102, loss: 3.3690, current_lr: 0.000030
step 103, loss: 3.6785, current_lr: 0.000030
step 104, loss: 4.1530, current_lr: 0.000030
step 105, loss: 4.2381, current_lr: 0.000030
step 106, loss: 4.1450, current_lr: 0.000030
step 107, loss: 4.0363, current_lr: 0.000030
step 108, loss: 4.1057, current_lr: 0.000030
step 109, loss: 3.9132, current_lr: 0.000030
step 110, loss: 4.1087, current_lr: 0.000030
step 111, loss: 4.1662, current_lr: 0.000030
step 112, loss: 4.1219, current_lr: 0.000030
step 113, loss: 4.2024, current_lr: 0.000030
step 114, loss: 3.9696, current_lr: 0.000030
step 115, loss: 4.1712, current_lr: 0.000030
step 116, loss: 3.7718, current_lr: 0.000031
step 117, loss: 3.9838, current_lr: 0.000031
step 118, loss: 3.8847, current_lr: 0.000031
step 119, loss: 3.7684, current_lr: 0.000031
step 120, loss: 3.9822, current_lr: 0.000031
step 121, loss: 4.0525, current_lr: 0.000031
step 122, loss: 3.8908, current_lr: 0.000031
step 123, loss: 3.9893, current_lr: 0.000031
step 124, loss: 3.4646, current_lr: 0.000031
step 125, loss: 3.9613, current_lr: 0.000031
step 126, loss: 3.6398, current_lr: 0.000031
step 127, loss: 3.2813, current_lr: 0.000031
step 128, loss: 3.4791, current_lr: 0.000031
step 129, loss: 3.6168, current_lr: 0.000031
step 130, loss: 3.7359, current_lr: 0.000031
step 131, loss: 3.8189, current_lr: 0.000031
step 132, loss: 3.7838, current_lr: 0.000031
step 133, loss: 3.4099, current_lr: 0.000031
step 134, loss: 3.9136, current_lr: 0.000031
step 135, loss: 3.4170, current_lr: 0.000031
step 136, loss: 3.5586, current_lr: 0.000031
step 137, loss: 3.6055, current_lr: 0.000032
step 138, loss: 3.4511, current_lr: 0.000032
step 139, loss: 3.4839, current_lr: 0.000032
step 140, loss: 3.4384, current_lr: 0.000032
step 141, loss: 3.5932, current_lr: 0.000032
step 142, loss: 4.0499, current_lr: 0.000032
step 143, loss: 3.9207, current_lr: 0.000032
step 144, loss: 3.8933, current_lr: 0.000032
step 145, loss: 3.9022, current_lr: 0.000032
step 146, loss: 3.6710, current_lr: 0.000032
step 147, loss: 3.5949, current_lr: 0.000032
step 148, loss: 3.2464, current_lr: 0.000032
step 149, loss: 3.7826, current_lr: 0.000032
step 150, loss: 3.7955, current_lr: 0.000032
step 151, loss: 3.6898, current_lr: 0.000032
step 152, loss: 3.4592, current_lr: 0.000032
step 153, loss: 3.5538, current_lr: 0.000032
step 154, loss: 3.3230, current_lr: 0.000032
step 155, loss: 3.3288, current_lr: 0.000032
step 156, loss: 3.3984, current_lr: 0.000033
step 157, loss: 3.2722, current_lr: 0.000033
step 158, loss: 3.0447, current_lr: 0.000033
step 159, loss: 3.6175, current_lr: 0.000033
step 160, loss: 3.9180, current_lr: 0.000033
step 161, loss: 3.9631, current_lr: 0.000033
step 162, loss: 4.0681, current_lr: 0.000033
step 163, loss: 3.4898, current_lr: 0.000033
step 164, loss: 3.4687, current_lr: 0.000033
step 165, loss: 3.7182, current_lr: 0.000033
step 166, loss: 3.6551, current_lr: 0.000033
step 167, loss: 3.3823, current_lr: 0.000033
step 168, loss: 3.7169, current_lr: 0.000033
step 169, loss: 3.7340, current_lr: 0.000033
step 170, loss: 3.5807, current_lr: 0.000033
step 171, loss: 3.5571, current_lr: 0.000033
step 172, loss: 3.6698, current_lr: 0.000034
step 173, loss: 3.3743, current_lr: 0.000034
step 174, loss: 3.5151, current_lr: 0.000034
step 175, loss: 3.5081, current_lr: 0.000034
step 176, loss: 3.0638, current_lr: 0.000034
step 177, loss: 3.4744, current_lr: 0.000034
step 178, loss: 3.3915, current_lr: 0.000034
step 179, loss: 3.4524, current_lr: 0.000034
step 180, loss: 3.1486, current_lr: 0.000034
step 181, loss: 3.3775, current_lr: 0.000034
step 182, loss: 3.3177, current_lr: 0.000034
step 183, loss: 3.5074, current_lr: 0.000034
step 184, loss: 3.4587, current_lr: 0.000034
step 185, loss: 3.7227, current_lr: 0.000034
step 186, loss: 3.5203, current_lr: 0.000034
step 187, loss: 3.4749, current_lr: 0.000034
step 188, loss: 3.5616, current_lr: 0.000035
step 189, loss: 3.3363, current_lr: 0.000035
step 190, loss: 3.2089, current_lr: 0.000035
step 191, loss: 3.4073, current_lr: 0.000035
step 192, loss: 3.4427, current_lr: 0.000035
step 193, loss: 3.5028, current_lr: 0.000035
step 194, loss: 3.1156, current_lr: 0.000035
step 195, loss: 3.4547, current_lr: 0.000035
step 196, loss: 3.4297, current_lr: 0.000035
step 197, loss: 3.1529, current_lr: 0.000035
step 198, loss: 3.0589, current_lr: 0.000035
step 199, loss: 3.2848, current_lr: 0.000035
step 200, loss: 3.2269, current_lr: 0.000035
step 201, loss: 3.6253, current_lr: 0.000035
step 202, loss: 3.5967, current_lr: 0.000036
step 203, loss: 3.4594, current_lr: 0.000036
step 204, loss: 3.1060, current_lr: 0.000036
step 205, loss: 3.6774, current_lr: 0.000036
step 206, loss: 3.2071, current_lr: 0.000036
step 207, loss: 3.1017, current_lr: 0.000036
step 208, loss: 3.1617, current_lr: 0.000036
step 209, loss: 3.5500, current_lr: 0.000036
step 210, loss: 3.4604, current_lr: 0.000036
step 211, loss: 3.4972, current_lr: 0.000036
step 212, loss: 3.8454, current_lr: 0.000036
step 213, loss: 3.6857, current_lr: 0.000036
step 214, loss: 3.7441, current_lr: 0.000036
step 215, loss: 3.7050, current_lr: 0.000037
step 216, loss: 3.8004, current_lr: 0.000037
step 217, loss: 3.6623, current_lr: 0.000037
step 218, loss: 3.4108, current_lr: 0.000037
step 219, loss: 3.4552, current_lr: 0.000037
step 220, loss: 3.7873, current_lr: 0.000037
step 221, loss: 3.6632, current_lr: 0.000037
step 222, loss: 3.5689, current_lr: 0.000037
step 223, loss: 3.5757, current_lr: 0.000037
step 224, loss: 3.4998, current_lr: 0.000037
